payment_id,account_id,cohort,payment_usd,period
QhQfR06N8dQAO,hbQ5GR1L54QtQAB,2020-05,50,8
Q7QfR06N8dQAO,vsQ5GR1KF4QtQAH,2020-04,968.07,9
Q6QfR06N8dQAO,5jQ5GR1Uz4QtQAB,2020-10,763.67,2
Q2QfR06N8dQAO,hnQ5GR1O34QtQAB,2020-08,2378.57,5
Q0QfR06N8dQAO,ztQ5GR1Ha4QtQAF,2020-03,2855.84,10
PwQfR06N8dQAO,OSQ5GR1R24QtQA3,2020-08,150,5
PuQfR06N8dQAO,ipQ5GR0dK4QtQAC,2020-02,500,11
PsQfR06N8dQAO,hGQ5GR1EI4QtQAT,2020-08,250,5
PrQfR06N8dQAO,V2Q5GR1de4QtQAI,2021-01,250,0
PkQfR06N8dQAO,HtQ5GR0mU4QtQAO,2020-02,50,11
PeQfR06N8dQAO,s1Q5GR1ek4QtQAA,2021-01,500,0
PdQfR06N8dQAO,hqQ5GR1R14QtQAF,2020-09,250,3
P0QfR06N8dQAO,S8Q5GR1RP4QtQAL,2020-08,2990.16,5
OzQfR06N8dQAO,wwQ5GR06N4QtQAC,2020-12,462.13,1
OrQfR06N8dQAO,w5Q5GR1O34QtQAF,2020-07,300,6
ORQfR06N8dQA4,2HQ5GR1Rh4QtQAV,2020-08,30,5
OqQfR06N8dQAO,6iQ5GR1O14QtQAB,2020-07,150,6
OpQfR06N8dQAO,F9Q5GR1Mr4QtQAJ,2020-07,75,6
OoQfR06N8dQAO,oiQ5GR1RP4QtQAD,2020-08,75,5
OnQfR06N8dQAO,5fQ5GR1O14QtQAB,2020-07,75,6
OmQfR06N8dQAO,OHQ5GR1O24QtQAZ,2020-10,251.5,3
OfQfR06N8dQAO,m3Q5GR12D4QtQAG,2020-04,250,9
OeQfR06N8dQAO,ytQ5GR1D84QtQAB,2020-02,250,11
OaQfR06N8dQAO,CNQ5GR1bt4QtQAY,2020-12,125,1
O3QfR06N8dQAO,ctQ5GR1TR4QtQAH,2020-10,306.72,3
O2QfR06N8dQAO,14Q5GR1GI4QtQAD,2020-02,2358.41,11
O1QfR06N8dQAO,ctQ5GR11H4QtQAC,2020-02,3415.19,11
NUQfR06N8dQA4,IRQ5GR1TU4QtQA1,2020-09,50,4
NrQfR06N8dQAO,X1Q5GR1L34QtQAN,2020-05,500,8
NiQfR06N8dQAO,HJQ5GR1YV4QtQA1,2020-12,250,1
Q4QfR06N8dQAO,luQ5GR1NY4QtQAD,2020-07,2005.22,5
PtQfR06N8dQAO,IFQ5GR1ek4QtQA2,2021-01,500,0
PqQfR06N8dQAO,1NQ5GR1O34QtQAV,2020-08,250,5
PoQfR06N8dQAO,LLQ5GR0bx4QtQA2,2020-02,125,11
PjQfR06N8dQAO,zDQ5GR1T44QtQAR,2020-11,50,2
PiQfR06N8dQAO,PaQ5GR1Z24QtQAJ,2020-11,50,2
PgQfR06N8dQAO,rmQ5GR1de4QtQAA,2021-01,30,0
OyQfR06N8dQAO,qlQ5GR0BF4QtQAH,2020-02,12083.8,11
OwQfR06N8dQAO,fHQ5GR1Yi4QtQAR,2020-11,5852.71,2
OTQfR06N8dQA4,qSQ5GR14r4QtQAU,2020-02,50,11
OQQfR06N8dQA4,tdQ5GR1de4QtQAA,2021-01,30,0
OdQfR06N8dQAO,uHQ5GR1ek4QtQAQ,2021-01,250,0
OcQfR06N8dQAO,hUQ5GR1Z24QtQAR,2020-11,250,2
NqQfR06N8dQAO,1hQ5GR0eA4QtQAG,2020-02,500,11
NpQfR06N8dQAO,4gQ5GR1L54QtQAF,2020-05,500,8
NhQfR06N8dQAO,5QQ5GR17F4QtQAW,2020-03,250,10
NgQfR06N8dQAO,DXQ5GR1Gz4QtQAZ,2020-03,250,10
NcQfR06N8dQAO,gMQ5GR19b4QtQAU,2020-02,1161.25,11
NbQfR06N8dQAO,I5Q5GR1ek4QtQAM,2021-01,100,0
XtQfR06N8dQAO,RrQ5GR1ek4QtQAM,2021-01,50,0
Q5QfR06N8dQAO,iKQ5GR1Yx4QtQAR,2020-11,745.67,2
Q1QfR06N8dQAO,67Q5GR1Bg4QtQAB,2020-02,818.52,11
PnQfR06N8dQAO,XlQ5GR1VC4QtQAL,2020-10,275,3
PmQfR06N8dQAO,lxQ5GR0zQ4QtQAC,2020-02,50,11
PhQfR06N8dQAO,d3Q5GR1VC4QtQAH,2020-10,30,3
P1QfR06N8dQAO,O7Q5GR1YP4QtQAL,2020-11,1615.63,2
OWQfR06N8dQA4,5SQ5GR1ek4QtQAU,2021-01,50,0
OVQfR06N8dQA4,3YQ5GR1Ux4QtQAR,2020-10,50,3
OuQfR06N8dQAO,8uQ5GR1L44QtQAB,2020-06,1411.56,7
OtQfR06N8dQAO,uEQ5GR1Vm4QtQAV,2020-10,2040,2
OSQfR06N8dQA4,9CQ5GR1de4QtQAQ,2021-01,30,0
OlQfR06N8dQAO,ePQ5GR1cf4QtQAQ,2021-01,500,0
OkQfR06N8dQAO,3LQ5GR1de4QtQAQ,2021-01,250,0
OjQfR06N8dQAO,PuQ5GR1Rh4QtQAJ,2020-08,250,5
NzQfR06N8dQAO,RcQ5GR0p44QtQAI,2020-02,1527,11
NZQfR06N8dQA4,GuQ5GR15h4QtQAM,2020-12,50,1
NyQfR06N8dQAO,S6Q5GR1L44QtQAJ,2020-05,300,7
NYQfR06N8dQA4,zVQ5GR1R24QtQAR,2020-08,50,5
NXQfR06N8dQA4,EVQ5GR1TS4QtQA1,2020-09,50,4
NwQfR06N8dQAO,qFQ5GR1de4QtQAQ,2021-01,75,0
NvQfR06N8dQAO,fgQ5GR1VC4QtQAH,2020-10,75,3
NuQfR06N8dQAO,0BQ5GR1dd4QtQAU,2021-01,500,0
NtQfR06N8dQAO,ooQ5GR1R14QtQAB,2020-08,500,5
NoQfR06N8dQAO,3xQ5GR1Bf4QtQAB,2020-02,250,11
NnQfR06N8dQAO,lwQ5GR1Z24QtQAB,2020-11,250,2
NmQfR06N8dQAO,z0Q5GR1ci4QtQAA,2021-01,250,0
NfQfR06N8dQAO,OjQ5GR1de4QtQAI,2021-01,125,0
NeQfR06N8dQAO,cBQ5GR1de4QtQAU,2021-01,125,0
NdQfR06N8dQAO,yOQ5GR1Mr4QtQAV,2020-06,1100,6
NaQfR06N8dQAO,2AQ5GR0zQ4QtQAS,2020-02,50,11
Q3QfR06N8dQAO,8uQ5GR0sh4QtQAA,2020-02,685.08,11
PzQfR06N8dQAO,DmQ5GR1PV4QtQAP,2020-09,1768.68,4
PyQfR06N8dQAO,P7Q5GR1T34QtQAJ,2020-09,2948.11,4
PxQfR06N8dQAO,fdQ5GR14s4QtQAA,2020-02,1060.12,11
PvQfR06N8dQAO,iUQ5GR1L34QtQAR,2020-05,75,8
PpQfR06N8dQAO,cBQ5GR1de4QtQAU,2021-01,125,0
OYQfR06N8dQA4,6GQ5GR1db4QtQAU,2021-01,400,0
OxQfR06N8dQAO,aaQ5GR1T54QtQAF,2020-09,640.55,4
OvQfR06N8dQAO,u8Q5GR17F4QtQAG,2020-04,69.82,9
OUQfR06N8dQA4,KqQ5GR1R44QtQAN,2020-09,50,4
OsQfR06N8dQAO,q1Q5GR1WP4QtQAD,2020-11,600,2
OiQfR06N8dQAO,w6Q5GR1SZ4QtQAH,2020-09,250,4
OhQfR06N8dQAO,yuQ5GR0Qv4QtQAF,2020-03,250,10
OgQfR06N8dQAO,3sQ5GR1L54QtQAF,2020-06,250,7
ObQfR06N8dQAO,OjQ5GR1de4QtQAI,2021-01,125,0
O0QfR06N8dQAO,1TQ5GR1SC4QtQAT,2020-09,2515.09,4
NxQfR06N8dQAO,QNQ5GR1O24QtQAZ,2020-07,150,6
NWQfR06N8dQA4,9PQ5GR1Mr4QtQAV,2020-06,50,6
NsQfR06N8dQAO,alQ5GR1R34QtQAF,2020-09,500,4
NlQfR06N8dQAO,JWQ5GR1Mo4QtQA3,2020-06,250,7
NkQfR06N8dQAO,9tQ5GR1Rh4QtQAF,2020-09,250,4
NjQfR06N8dQAO,TqQ5GR11G4QtQAK,2020-02,250,11
QYQfR06N8dQA4,h2Q5GR1TR4QtQAH,2020-09,910.42,4
QTQfR06N8dQA4,k0Q5GR0t34QtQAA,2020-02,858.84,11
QQQfR06N8dQA4,TSQ5GR1R44QtQAZ,2020-08,150,5
QMQfR06N8dQA4,35Q5GR1YK4QtQAD,2020-12,500,0
QKQfR06N8dQA4,L5Q5GR1Js4QtQAN,2020-04,250,9
QeQfR06N8dQAO,pcQ5GR1TV4QtQAH,2020-11,676.13,2
QcQfR06N8dQAO,nEQ5GR1O24QtQAV,2020-07,5820.55,5
QbQfR06N8dQAO,ooQ5GR1R14QtQAB,2020-08,4134.57,5
PZQfR06N8dQA4,C8Q5GR1R34QtQAN,2020-08,2163.93,5
PXQfR06N8dQA4,jKQ5GR0Pp4QtQAV,2020-02,1959.48,11
PTQfR06N8dQA4,KVQ5GR1R24QtQA3,2020-08,3790.37,5
PNQfR06N8dQA4,a5Q5GR1Js4QtQAB,2020-04,500,9
PMQfR06N8dQA4,M1Q5GR1T34QtQAN,2020-09,500,4
PlQfR06N8dQAO,vXQ5GR1TR4QtQAX,2020-09,50,4
PIQfR06N8dQA4,wfQ5GR0k24QtQAA,2020-02,250,11
PBQfR06N8dQA4,c0Q5GR1bi4QtQAE,2020-12,125,1
P9QfR06N8dQAO,RYQ5GR1Yx4QtQA3,2020-11,50,2
P6QfR06N8dQAO,VGQ5GR1Zg4QtQAZ,2020-12,30,1
OXQfR06N8dQA4,6GQ5GR1db4QtQAU,2021-01,400,0
OLQfR06N8dQA4,BRQ5GR1Wz4QtQAZ,2020-12,20.61,1
OEQfR06N8dQA4,d4Q5GR0M74QtQAB,2020-02,250,11
OBQfR06N8dQA4,PrQ5GR07s4QtQAI,2020-02,100,11
OAQfR06N8dQA4,4bQ5GR1Vz4QtQAB,2020-11,50,2
